SEQUENCE1,SEQUENCE2,SEQUENCE3,SEQUENCE4,ORG,OBJ,PROJECT,ACCOUNT,ACCOUNT DESCRIPTION,TYPE,ORIGINAL APPROP,,,,,
1000,00,0000,550100,10000005,550100,,1000-00-00-0000-000000-996001-000-550100-,Fund Transfers,E,0,,,,,
1000,00,0000,598000,1000,598000,,1000-00-00-0000-000000-000000-000-598000-,Converted Expense,E,0,,,,,
1000,00,9010,521910,10000170,521910,,1000-00-13-9010-901001-000000-000-521910-,Misc Contractual Services,E,0,,,,,
1000,00,9010,521910,10000200,521910,,1000-00-13-9010-901024-000000-000-521910-,Misc Contractual Services,E,"50,000",,,,,
1000,00,9010,521910,10000350,521910,,1000-00-61-9010-901002-000000-000-521910-,Misc Contractual Services,E,"141,008",,,,,
1000,00,9010,521910,10000360,521910,,1000-00-61-9010-901020-000000-000-521910-,Misc Contractual Services,E,"2,940,823",,,,,
1000,00,9010,521910,10000380,521910,,1000-00-61-9010-901025-000000-000-521910-,Misc Contractual Services,E,"2,500",,,,,
1000,00,9010,521910,10000390,521910,,1000-00-61-9010-901026-000000-000-521910-,Misc Contractual Services,E,"40,000",,,,,
1000,00,9010,521910,10006001,521910,,1000-00-61-9010-901021-000000-000-521910-,Misc Contractual Services,E,"333,977",,,,,
1000,00,9010,529050,10000160,529050,,1000-00-13-9010-901000-000000-000-529050-,"Dues,Subscr, & Prof Lic",E,"313,119",,,,,
1000,00,9010,529050,10000180,529050,,1000-00-13-9010-901003-000000-000-529050-,"Dues,Subscr, & Prof Lic",E,"175,542",,,,,
1000,00,9020,520950,10000210,520950,,1000-00-13-9020-902001-000000-000-520950-,City-Cnty Consol Acts,E,"1,826,529",,,,,
1000,00,9020,520950,10000220,520950,,1000-00-13-9020-902002-000000-000-520950-,City-Cnty Consol Acts,E,"1,040,864",,,,,
1000,00,9020,520950,10000320,520950,,1000-00-50-9020-902000-000000-000-520950-,City-Cnty Consol Acts,E,"1,664,326",,,,,
1000,00,9030,521900,10000470,521900,,1000-00-80-9030-903002-000000-000-521900-,Fees - Other,E,"4,539,291",,,,,
1000,00,9030,550100,10000060,550100,,1000-00-00-9030-903000-993000-000-550100-,Fund Transfers,E,"16,182,983",,,,,
1000,00,9030,550100,10000070,550100,,1000-00-00-9030-903001-991001-000-550100-,Fund Transfers,E,"4,261,000",,,,,
1000,00,9030,550100,10000080,550100,,1000-00-00-9030-903003-994000-000-550100-,Fund Transfers,E,"15,500,000",,,,,
1000,00,9040,520110,10000130,520110,,1000-00-11-9040-904004-000000-000-520110-,M&R Equipment,E,"275,000",,,,,
1000,00,9040,520110,10000480,520110,,1000-00-80-9040-904005-000000-000-520110-,M&R Equipment,E,"5,150",,,,,
1000,00,9040,520120,10000480,520120,,1000-00-80-9040-904005-000000-000-520120-,M&R-Buildings,E,"6,000",,,,,
1000,00,9040,520130,10000500,520130,,1000-00-80-9040-904014-000000-000-520130-,ISP M&R-Bldg Renov and Cons,E,"156,317",,,,,
1000,00,9040,520140,10000480,520140,,1000-00-80-9040-904005-000000-000-520140-,ISP M&R-Land & Water Areas,E,"10,105",,,,,
1000,00,9040,520230,10000260,520230,,1000-00-13-9040-904015-000000-000-520230-,Pro Fee-Acctng&Audtng,E,"66,000",,,,,
1000,00,9040,521120,10000420,521120,,1000-00-61-9040-904006-000000-000-521120-,Grants,E,"2,213,465",,,,,
1000,00,9040,521140,10000330,521140,,1000-00-50-9040-904020-000000-000-521140-,Grants-Not City Owned,E,"3,400",,,,,
1000,00,9040,521900,10000300,521900,,1000-00-42-9040-904000-000000-000-521900-,Fees - Other,E,"82,410",,,,,
1000,00,9040,521900,10000400,521900,,1000-00-61-9040-904001-000000-000-521900-,Fees - Other,E,"4,409,919",,,,,
1000,00,9040,521900,10000480,521900,,1000-00-80-9040-904005-000000-000-521900-,Fees - Other,E,0,,,,,
1000,00,9040,521910,10000230,521910,,1000-00-13-9040-904003-000000-000-521910-,Misc Contractual Services,E,0,,,,,
1000,00,9040,521910,10000240,521910,,1000-00-13-9040-904009-000000-000-521910-,Misc Contractual Services,E,"300,000",,,,,
1000,00,9040,521910,10000250,521910,,1000-00-13-9040-904013-000000-000-521910-,Misc Contractual Services,E,"84,000",,,,,
1000,00,9040,521910,10000300,521910,,1000-00-42-9040-904000-000000-000-521910-,Misc Contractual Services,E,"40,000",,,,,
1000,00,9040,521910,10000410,521910,,1000-00-61-9040-904002-000000-000-521910-,Misc Contractual Services,E,"2,993,069",,,,,
1000,00,9040,521910,10000420,521910,,1000-00-61-9040-904006-000000-000-521910-,Misc Contractual Services,E,0,,,,,
1000,00,9040,521910,10000440,521910,,1000-00-61-9040-904016-000000-000-521910-,Misc Contractual Services,E,"20,000",,,,,
1000,00,9040,521910,10000450,521910,,1000-00-61-9040-904019-000000-000-521910-,Misc Contractual Services,E,"725,846",,,,,
1000,00,9040,521910,10000480,521910,,1000-00-80-9040-904005-000000-000-521910-,Misc Contractual Services,E,"301,415",,,,,
1000,00,9040,521910,10001001,521910,,1000-00-13-9040-904022-000000-000-521910-,Misc Contractual Services,E,"400,000",,,,,
1000,00,9040,522210,10000480,522210,,1000-00-80-9040-904005-000000-000-522210-,Specialty Departmental Supplie,E,"5,400",,,,,
